title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Grand Theft Auto V,PS3,Action,Rockstar Games,9.4,20.32,6.37,0.99,9.85,3.12,2013-09-17
Grand Theft Auto V,PS4,Action,Rockstar Games,9.7,19.39,6.06,0.6,9.71,3.02,2014-11-18
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,9.6,16.15,8.41,0.47,5.49,1.78,2002-10-28
Call of Duty: Black Ops 3,PS4,Shooter,Activision,8.1,15.09,6.18,0.41,6.05,2.44,2015-11-06
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,8.7,14.82,9.07,0.13,4.29,1.33,2011-11-08
Call of Duty: Black Ops,X360,Shooter,Activision,8.8,14.74,9.76,0.11,3.73,1.14,2010-11-09
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018-10-26
Call of Duty: Black Ops II,X360,Shooter,Activision,8.4,13.86,8.27,0.07,4.32,1.2,2012-11-13
Call of Duty: Black Ops II,PS3,Shooter,Activision,8.0,13.8,4.99,0.65,5.88,2.28,2012-11-13
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5,13.53,8.54,0.08,3.63,1.28,2009-11-10
Call of Duty: WWII,PS4,Shooter,Activision,8.1,13.4,4.67,0.4,6.21,2.12,2017-11-03
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,8.8,13.35,5.54,0.49,5.78,1.54,2011-11-08
Grand Theft Auto III,PS2,Action,Rockstar Games,9.5,13.1,6.99,0.3,4.51,1.3,2001-10-23
Call of Duty: Black Ops,PS3,Shooter,Activision,8.7,12.67,6.01,0.48,4.4,1.78,2010-11-09
FIFA 18,PS4,Sports,EA Sports,8.3,11.8,1.27,0.15,8.64,1.73,2017-09-29
Grand Theft Auto IV,X360,Action,Rockstar Games,10.0,11.09,6.8,0.14,3.11,1.04,2008-04-29
FIFA 17,PS4,Sports,Electronic Arts,8.9,10.94,1.26,0.12,7.95,1.61,2016-09-27
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,9.5,10.61,4.99,0.38,3.66,1.59,2009-11-10
Grand Theft Auto IV,PS3,Action,Rockstar Games,10.0,10.57,4.79,0.44,3.73,1.62,2008-04-29
Call of Duty: Ghosts,X360,Shooter,Activision,6.9,10.41,6.76,0.04,2.64,0.98,2013-11-05
Call of Duty: Ghosts,PS3,Shooter,Activision,7.5,10.13,4.11,0.39,4.01,1.62,2013-11-05
Halo: Reach,X360,Shooter,Microsoft Game Studios,9.3,9.97,7.08,0.08,2.01,0.8,2010-09-14
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.6,9.41,5.98,0.13,2.39,0.91,2007-11-05
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,9.3,8.88,5.1,0.1,2.83,0.85,2011-11-11
Grand Theft Auto V,XOne,Action,Rockstar Games,9.0,8.72,4.7,0.01,3.25,0.76,2014-11-18
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,7.9,8.48,3.11,0.19,3.83,1.36,2016-11-04
Fallout 4,PS4,Role-Playing,Bethesda Softworks,8.6,8.48,2.91,0.27,3.97,1.34,2015-11-10
FIFA 16,PS4,Sports,EA Sports,8.5,8.22,1.15,0.07,5.77,1.23,2015-09-22
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,7.1,8.03,3.31,0.23,3.19,1.3,2015-11-17
The Sims 3,PC,Simulation,Electronic Arts,8.5,7.96,1.01,0.0,6.46,0.5,2009-06-02
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,8.8,7.72,2.9,0.24,2.83,1.74,2005-10-25
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,8.5,7.53,2.84,0.14,3.34,1.22,2014-11-04
Call of Duty: World at War,X360,Shooter,Activision,8.5,7.5,4.88,0.0,1.91,0.71,2008-11-10
Battlefield 3,X360,Shooter,Electronic Arts,8.5,7.35,4.47,0.06,2.12,0.69,2011-10-25
Battlefield 1,PS4,Shooter,Electronic Arts,9.1,7.26,2.2,0.29,3.65,1.12,2016-10-21
Battlefield 3,PS3,Shooter,Electronic Arts,8.5,7.21,2.86,0.35,2.94,1.07,2011-10-25
Need for Speed Underground,PS2,Racing,Electronic Arts,8.6,7.2,3.27,0.08,2.83,1.02,2003-11-17
Need for Speed Underground 2,PS2,Racing,Electronic Arts,8.3,6.9,2.71,0.08,3.02,1.09,2004-11-15
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,9.0,6.83,2.93,0.17,2.75,0.99,2002-05-28
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,9.5,6.74,3.28,0.21,2.22,1.02,2009-10-13
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,9.5,6.72,3.13,0.28,2.27,1.04,2007-11-05
FIFA Soccer 12,PS3,Sports,EA Sports,9.2,6.65,0.84,0.11,4.33,1.37,2011-09-27
Red Dead Redemption,PS3,Action,Rockstar Games,9.5,6.57,2.82,0.17,2.58,1.0,2011-10-11
Red Dead Redemption,X360,Action,Rockstar Games,9.5,6.5,3.77,0.09,2.03,0.6,2010-05-18
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,8.8,6.5,2.65,0.16,2.61,1.08,2012-10-30
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,9.0,6.49,2.57,0.25,2.68,0.99,2011-11-11
Minecraft,PS4,Misc,Sony Computer Entertainment,9.4,6.33,1.89,0.35,3.13,0.96,2014-10-07
FIFA 15,PS4,Sports,EA Sports,8.1,6.32,0.83,0.05,4.49,0.94,2014-09-23
Driver,PS,Action,GT Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999-06-30
Tekken 2,PS,Fighting,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996-08-25
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,8.0,5.66,3.57,0.0,1.57,0.52,2007-11-06
Cooking Mama,DS,Simulation,Majesco,6.6,5.66,3.09,0.07,1.92,0.58,2006-09-12
Assassin's Creed II,PS3,Action,Ubisoft,9.0,5.57,2.54,0.21,1.95,0.86,2009-11-17
Assassin's Creed,X360,Action,Ubisoft,8.2,5.55,3.28,0.07,1.64,0.56,2007-11-13
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,9.6,5.54,2.72,0.11,1.89,0.82,2011-10-18
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009-10-27
Call of Duty: World at War,PS3,Shooter,Activision,8.4,5.43,2.75,0.0,1.84,0.84,2008-11-10
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6.9,5.42,2.07,0.24,2.29,0.82,2001-10-29
Final Fantasy XIII,PS3,Role-Playing,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010-03-09
Assassin's Creed II,X360,Action,Ubisoft,9.1,5.3,3.14,0.08,1.55,0.52,2009-11-17
Tomb Raider II,PS,Adventure,Eidos Interactive,7.6,5.24,2.3,0.2,2.46,0.28,1997-10-31
Madden NFL 2004,PS2,Sports,EA Sports,9.5,5.23,4.26,0.01,0.26,0.71,2003-08-12
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8.3,5.22,3.25,0.01,1.49,0.48,2014-11-04
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.9,5.13,1.98,0.13,2.23,0.8,2003-11-11
Battlefield 1,XOne,Shooter,Electronic Arts,9.3,5.13,3.37,0.02,1.26,0.48,2016-10-21
Microsoft Flight Simulator,PC,Simulation,Microsoft,7.0,5.12,3.22,0.0,1.69,0.2,1996-10-31
Guitar Hero II,PS2,Misc,RedOctane,9.2,5.12,3.81,0.0,0.63,0.68,2006-11-07
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008-01-22
Fable III,X360,Role-Playing,Microsoft Game Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010-10-26
Resident Evil 5,PS3,Action,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009-03-13
FIFA Soccer 11,PS3,Sports,EA Sports,8.7,5.08,0.61,0.06,3.28,1.12,2010-09-28
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8.4,5.08,1.7,0.16,2.03,1.19,2006-10-31
Final Fantasy XV,PS4,Role-Playing,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016-11-29
Fallout 4,XOne,Role-Playing,Bethesda Softworks,8.4,5.03,2.94,0.02,1.62,0.45,2015-11-10
Tony Hawk's Pro Skater,PS,Sports,Activision,9.6,5.02,3.42,0.02,1.38,0.2,1999-08-31
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8.2,4.98,3.49,0.01,0.01,1.48,2007-10-28
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8.7,4.97,2.32,0.12,1.73,0.8,2007-11-16
Fallout 3,X360,Role-Playing,Bethesda Softworks,9.0,4.96,3.41,0.09,0.99,0.46,2008-10-28
Madden NFL 06,PS2,Sports,EA Sports,9.1,4.91,3.98,0.01,0.26,0.66,2005-08-08
Assassin's Creed,PS3,Action,Ubisoft,8.2,4.83,1.91,0.09,2.01,0.82,2007-11-13
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9.2,4.79,2.57,0.44,1.57,0.21,1999-09-30
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7.8,4.77,2.83,0.0,1.49,0.45,2007-11-06
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9.5,4.75,2.99,0.04,1.28,0.44,2011-10-18
Driver 2,PS,Action,Atari,7.0,4.73,2.36,0.02,2.1,0.25,2000-11-13
The Simpsons: Hit & Run,PS2,Racing,VU Games,7.7,4.7,1.73,0.0,2.19,0.79,2003-09-16
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9.3,4.68,3.05,0.02,1.41,0.2,2000-09-20
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8.3,4.67,1.94,0.08,1.95,0.7,2002-10-21
Tomb Raider,PS,Action,Eidos Interactive,8.9,4.63,2.29,0.13,1.97,0.24,1996-11-14
Forza Motorsport 4,X360,Racing,Microsoft Studios,9.1,4.6,2.08,0.06,1.98,0.49,2011-10-11
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8.6,4.6,3.04,0.0,1.12,0.44,2007-10-28
