INCIDENCIA POR COMPONENTE (%),2018,Unnamed: 2,Unnamed: 3,Unnamed: 4,2019,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020,Unnamed: 10,Unnamed: 11,Unnamed: 12,2021 (p),Unnamed: 14,Unnamed: 15,Unnamed: 16,2022 (p),Unnamed: 18,Unnamed: 19,Unnamed: 20,2023 (p),Unnamed: 22,Unnamed: 23,Unnamed: 24,2024 (p),Unnamed: 26,Unnamed: 27,Unnamed: 28,2025 (p),Unnamed: 30
,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumo Final,,,,,4.945516114331415,4.926155363044399,4.664562686734203,4.126990348979886,1.0043791129408581,-1.4679147458379342,-1.6841662672492883,-1.9286554239835532,0.7768202359215459,4.774884964898722,5.328573928188749,5.514684009971297,6.055195979310961,5.579606781227826,5.03279896577327,4.603300405935873,1.363162108819121,1.752092847175069,1.9809742060026627,2.082857160626642,3.3178276346325513,4.040825143902395,4.0495735991812944,3.568130514758425,2.6832063762543834,2.1485432217905736
Consumo Privado,,,,,4.214124705747364,4.034407500211039,3.9129181856534117,3.360221918594631,-0.4401372160726581,-2.4883620330154095,-2.7891496992421763,-2.963945250887497,1.6355577708295945,5.313889288988353,5.640322819471928,5.801642922186662,5.0783050369432985,4.9629906796587715,4.474260853312317,3.71438223056424,1.3543872249035136,1.5307809367974863,1.7453302116184084,1.8233793058399947,2.8596033397696115,3.372801760660366,3.4136722761381177,3.104940436841025,2.3774835831938805,2.0484525652149395
Consumo Público,,,,,0.7313914085840509,0.8917478628333599,0.7516445010807916,0.7667684303852547,1.4445163290135163,1.0204472871774752,1.104983431992888,1.0352898269039437,-0.8587375349080486,-0.539004324089631,-0.31174889128317873,-0.28695891221536607,0.9768909423676623,0.6166161015690544,0.558538112460953,0.8889181753716331,0.008774883915607346,0.22131191037758263,0.23564399438425443,0.25947785478664714,0.45822429486294,0.6680233832420283,0.6359013230431767,0.4631900779173996,0.30572279306050276,0.10009065657563429
Formación Bruta de Capital (1),,,,,0.9938830987785132,0.9686651004005484,1.3947473067625469,1.2697200063116152,0.4063816171394401,-4.295679437705273,-3.9283272625725947,-2.288448416348628,6.5819336089391465,10.304965835388453,8.25467668821419,7.389456245344577,2.510513062045259,3.9713418692218827,3.1462676097493576,2.063640709895327,1.1769553724858712,0.36950622240242387,0.32181929819025645,0.5079111064501471,-1.4185123254811343,-0.2681485585289356,0.18822622401209377,0.6846759658290631,-0.07800280246843272,-0.6064678817831582
Formación Bruta de Capital Fijo,,,,,1.3064927467853287,1.0102844856129924,1.3544441868952852,1.3636969505671022,-1.2768768963316122,-3.85724419075833,-3.018772086927643,-2.0744817011534247,5.0542416160885715,9.224180311770562,6.967900578495382,6.037326328136711,2.466197775218186,1.8384286940594314,1.9155569688353422,1.487592736542227,-0.2121853976992371,0.11199946988112956,0.5360336367854027,0.6130728410740007,0.8182560642537205,1.097269899093955,1.1818178046919818,0.833101076135469,-0.9693290287522442,-0.9639250529733395
Variación de Existencias (1),,,,,-0.31260964800681545,-0.041619385212444016,0.04030311986726165,-0.09397694425548708,1.6832585134710523,-0.43843524694694214,-0.9095551756449516,-0.21396671519520316,1.527691992850575,1.080785523617891,1.286776109718807,1.3521299172078658,0.04431528682707331,2.132913175162451,1.2307106409140154,0.5760479733530999,1.3891407701851084,0.2575067525212943,-0.21421433859514624,-0.10516173462385353,-2.2367683897348547,-1.3654184576228905,-0.9935915806798881,-0.14842511030640593,0.8913262262838115,0.3574571711901813
Exportaciones,,,,,1.45529615850999,0.9212702226803837,0.3335076528454649,0.42025187697221694,-1.4573100543938733,-7.116567157048256,-7.08247826313027,-6.642433303724844,-3.734474866904575,4.261511584209658,6.089461178891729,6.644802482261443,6.364026853684743,5.076816919409484,4.104476703322335,2.829316718770814,1.179074873201018,-0.1836365315898864,-0.3707864984314724,-0.35166868581202115,1.24281324667376,1.70439547108465,1.6504714351033172,1.6588718153677422,0.9000280401469162,0.568849632263536
Importaciones,,,,,-1.216901347198388,-1.6509822715524178,-1.380326193731014,-0.9229321155362257,-0.9642656547079145,3.6333567477306645,3.888597023902584,2.9304848002138573,1.4709536944061825,-4.33775995650167,-5.345927339409819,-5.536513831469815,-6.3707989874144175,-7.210362267932751,-5.851673273346125,-4.25830130530384,-1.6889868800021797,-0.1497927093396971,0.24445801759435612,-0.04680109834107843,1.356810112617087,-0.1908374315691755,-0.6471134463829111,-0.9579016669810761,-0.7687956282192406,0.247798452092638
Producto Interno Bruto,,,,,6.17779402442153,5.165108414572913,5.012491452611201,4.894030116727492,-1.0108149790214895,-9.246804592860798,-8.806374769049569,-7.929052343843168,5.0952326723623,15.003602427995162,14.326784455884848,14.012428906107502,8.558936907626546,7.417403301926441,6.431870005498837,5.237956529298174,2.0302054745038305,1.7881698286479093,2.176465023355803,2.1922984829236896,4.498938668442264,5.286234624888934,5.241157811913794,4.953776628974154,2.7364359857136265,2.358723424363589
