Año,Trimestre,Trimestre_Texto,Componente,Valor_Indice,Valor_Anterior,Crecimiento_Anual_%
2019,1,E-M,Producto Interno Bruto,102.94817742329272,96.9582937460671,6.1777940244215435
2020,1,E-M,Producto Interno Bruto,101.90756182526846,102.94817742329272,-1.0108149790214878
2021,1,E-M,Producto Interno Bruto,107.09998921099735,101.90756182526846,5.095232672362301
2022,1,E-M,Producto Interno Bruto,116.26660971564145,107.09998921099735,8.558936907626546
2023,1,E-M,Producto Interno Bruto,118.6270607911084,116.26660971564145,2.03020547450383
2024,1,E-M,Producto Interno Bruto,123.9640195002761,118.6270607911084,4.498938668442265
2025,1,E-M,Producto Interno Bruto,127.3562155392187,123.9640195002761,2.7364359857136167
2019,2,E-J,Producto Interno Bruto,103.35241735306529,98.27633795197377,5.165108414572922
2020,2,E-J,Producto Interno Bruto,93.7956212784294,103.35241735306529,-9.246804592860794
2021,2,E-J,Producto Interno Bruto,107.86834338991298,93.7956212784294,15.003602427995169
2022,2,E-J,Producto Interno Bruto,115.86937345424974,107.86834338991298,7.417403301926444
2023,2,E-J,Producto Interno Bruto,117.941314631002,115.86937345424974,1.7881698286479075
2024,2,E-J,Producto Interno Bruto,124.17596924207521,117.941314631002,5.286234624888921
2025,2,E-J,Producto Interno Bruto,127.10493691601857,124.17596924207521,2.3587234243635957
2019,3,E-S,Producto Interno Bruto,103.62152250836716,98.67542525179327,5.012491452611202
2020,3,E-S,Producto Interno Bruto,94.4962228948853,103.62152250836716,-8.80637476904956
2021,3,E-S,Producto Interno Bruto,108.03449306798802,94.4962228948853,14.326784455884836
2022,3,E-S,Producto Interno Bruto,114.98313122322067,108.03449306798802,6.431870005498838
2023,3,E-S,Producto Interno Bruto,117.48569885705336,114.98313122322067,2.176465023355798
2024,3,E-S,Producto Interno Bruto,123.64330974058133,117.48569885705336,5.2411578119137925
2019,4,E-D,Producto Interno Bruto,104.89403011672749,100.0,4.894030116727492
2020,4,E-D,Producto Interno Bruto,96.57692756320556,104.89403011672749,-7.929052343843162
2021,4,E-D,Producto Interno Bruto,110.10970087770266,96.57692756320556,14.012428906107488
2022,4,E-D,Producto Interno Bruto,115.87719914421697,110.10970087770266,5.2379565292981685
2023,4,E-D,Producto Interno Bruto,118.4175732231101,115.87719914421697,2.1922984829236825
2024,4,E-D,Producto Interno Bruto,124.28371529003488,118.4175732231101,4.953776628974151
