Empresa Distribuidora,Tipo Cliente,Mes,Año,date,Energía (gwh),Potencia (mw)
EdeEste,Ayuntamiento,1,2012,2012-01-01,5.455723,17.60701
EdeEste,Ayuntamiento,1,2013,2013-01-01,6.269137,15.787329999999994
EdeEste,Ayuntamiento,1,2014,2014-01-01,6.228713,15.865480000000002
EdeEste,Ayuntamiento,1,2015,2015-01-01,7.790957,16.157109999999996
EdeEste,Ayuntamiento,1,2016,2016-01-01,8.268114,16.102980000000002
EdeEste,Ayuntamiento,1,2017,2017-01-01,8.500906,17.21098
EdeEste,Ayuntamiento,1,2018,2018-01-01,8.508571,17.37687
EdeEste,Ayuntamiento,1,2019,2019-01-01,8.597691,18.078540000000004
EdeEste,Ayuntamiento,1,2020,2020-01-01,8.300712,16.961620000000003
EdeEste,Ayuntamiento,1,2021,2021-01-01,8.596901,17.714220000000005
EdeEste,Ayuntamiento,1,2022,2022-01-01,7.17,19.75
EdeEste,Ayuntamiento,1,2023,2023-01-01,9.27,20.72
EdeEste,Ayuntamiento,1,2024,2024-01-01,9.36,20.95
EdeEste,Ayuntamiento,2,2012,2012-02-01,5.631335,17.419370000000004
EdeEste,Ayuntamiento,2,2013,2013-02-01,5.796469,15.863389999999995
EdeEste,Ayuntamiento,2,2014,2014-02-01,6.801189,15.716669999999999
EdeEste,Ayuntamiento,2,2015,2015-02-01,7.77975,15.980679999999994
EdeEste,Ayuntamiento,2,2016,2016-02-01,7.692556,16.09314
EdeEste,Ayuntamiento,2,2017,2017-02-01,8.279688,16.97036
EdeEste,Ayuntamiento,2,2018,2018-02-01,7.956591,17.32525
EdeEste,Ayuntamiento,2,2019,2019-02-01,7.825725,18.24103
EdeEste,Ayuntamiento,2,2020,2020-02-01,7.727687,17.132240000000007
EdeEste,Ayuntamiento,2,2021,2021-02-01,7.02548,18.11
EdeEste,Ayuntamiento,2,2022,2022-02-01,7.65,19.86
EdeEste,Ayuntamiento,2,2023,2023-02-01,8.35,20.45
EdeEste,Ayuntamiento,2,2024,2024-02-01,8.45,20.97
EdeEste,Ayuntamiento,3,2012,2012-03-01,5.462319,17.298080000000002
EdeEste,Ayuntamiento,3,2013,2013-03-01,6.050665,15.706499999999995
EdeEste,Ayuntamiento,3,2014,2014-03-01,6.493914,15.79862
EdeEste,Ayuntamiento,3,2015,2015-03-01,7.531129,16.56512
EdeEste,Ayuntamiento,3,2016,2016-03-01,8.240607,16.109379999999998
EdeEste,Ayuntamiento,3,2017,2017-03-01,8.37457,16.941650000000003
EdeEste,Ayuntamiento,3,2018,2018-03-01,8.324451,17.38924
EdeEste,Ayuntamiento,3,2019,2019-03-01,8.704828,18.1277
EdeEste,Ayuntamiento,3,2020,2020-03-01,8.680059,17.211740000000006
EdeEste,Ayuntamiento,3,2021,2021-03-01,7.35,18.28
EdeEste,Ayuntamiento,3,2022,2022-03-01,8.08,19.9
EdeEste,Ayuntamiento,3,2023,2023-03-01,9.43,20.41
EdeEste,Ayuntamiento,3,2024,2024-03-01,9.41,20.21
EdeEste,Ayuntamiento,4,2012,2012-04-01,9.323941,17.140130000000003
EdeEste,Ayuntamiento,4,2013,2013-04-01,6.237056,15.585419999999992
EdeEste,Ayuntamiento,4,2014,2014-04-01,7.199112,15.810880000000001
EdeEste,Ayuntamiento,4,2015,2015-04-01,7.893431,15.996510000000002
EdeEste,Ayuntamiento,4,2016,2016-04-01,8.267599,16.14515
EdeEste,Ayuntamiento,4,2017,2017-04-01,8.17,16.96
EdeEste,Ayuntamiento,4,2018,2018-04-01,8.249917,18.834509999999998
EdeEste,Ayuntamiento,4,2019,2019-04-01,8.345101,17.946290000000005
EdeEste,Ayuntamiento,4,2020,2020-04-01,8.76067,17.69794
EdeEste,Ayuntamiento,4,2021,2021-04-01,8.23,17.29
EdeEste,Ayuntamiento,4,2022,2022-04-01,8.43,20.01
EdeEste,Ayuntamiento,4,2023,2023-04-01,9.03,21.24
EdeEste,Ayuntamiento,4,2024,2024-04-01,9.12,20.68
EdeEste,Ayuntamiento,5,2012,2012-05-01,5.769403,17.603810000000006
EdeEste,Ayuntamiento,5,2013,2013-05-01,6.419808,15.676389999999998
EdeEste,Ayuntamiento,5,2014,2014-05-01,6.968568,15.730490000000001
EdeEste,Ayuntamiento,5,2015,2015-05-01,7.826728,15.956940000000001
EdeEste,Ayuntamiento,5,2016,2016-05-01,8.288167,16.23863
EdeEste,Ayuntamiento,5,2017,2017-05-01,8.23,16.93
EdeEste,Ayuntamiento,5,2018,2018-05-01,8.307029,18.02788
EdeEste,Ayuntamiento,5,2019,2019-05-01,8.408868,17.20763
EdeEste,Ayuntamiento,5,2020,2020-05-01,8.322055,19.97574
EdeEste,Ayuntamiento,5,2021,2021-05-01,7.84,17.85
EdeEste,Ayuntamiento,5,2022,2022-05-01,8.44,19.94
EdeEste,Ayuntamiento,5,2023,2023-05-01,9.06,20.59
EdeEste,Ayuntamiento,5,2024,2024-05-01,9.25,21.01
EdeEste,Ayuntamiento,6,2012,2012-06-01,5.892478,16.732400000000002
EdeEste,Ayuntamiento,6,2013,2013-06-01,6.114148,15.648749999999998
EdeEste,Ayuntamiento,6,2014,2014-06-01,7.424921,15.749540000000005
EdeEste,Ayuntamiento,6,2015,2015-06-01,7.75957,15.925100000000002
EdeEste,Ayuntamiento,6,2016,2016-06-01,7.838233,16.3342
EdeEste,Ayuntamiento,6,2017,2017-06-01,8.5,17.0
